lang,label,dtime,vlang,pcommit,op,ttype,mtype,memory,allocs,tmin,tmax,tmedian,tmean,tstddev
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,ComplexF64,medium,560,5,618.4080459770115,373783.4885057471,1053.896551724138,1090.8148477011493,6344.967714766274
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,ComplexF64,small,560,5,434.8241206030151,316761.1407035176,868.0904522613066,918.5753261306534,6246.013712058725
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,ComplexF64,large,560,5,2378.3333333333335,206116.88888888888,2805.722222222222,2776.7548666666667,2084.4494795298897
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,ComplexF64,tiny,560,5,425.1256281407035,316042.44221105526,859.6984924623116,909.7827030150753,6251.177848807669
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,Float32,medium,544,5,594.685393258427,340034.09550561797,985.6488764044943,1018.7589421348315,5822.662608900096
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,Float32,small,544,5,435.8291457286432,298366.04522613063,827.2964824120603,849.130683919598,5139.251425916895
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,Float32,large,544,5,2377.5555555555557,202702.77777777778,2788.666666666667,2773.5254444444445,2022.156570196912
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,Float32,tiny,544,5,434.06532663316585,398734.02010050253,817.1834170854272,858.8166748743719,5791.670158475634
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,Float64,medium,544,5,632.1452513966481,341476.64804469276,1002.3240223463688,1035.7939787709497,5815.719230575198
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,Float64,small,544,5,447.69191919191917,302350.54545454547,834.3030303030303,859.533907070707,5210.0461278082
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,Float64,large,544,5,2371.4444444444443,209457.33333333334,2808.1111111111113,2793.617366666667,2117.1901034401462
julia,julia-gpu,2021-09-21T12:27:29.855,1.8.0,8d1870f9ab2bb7d00e857f399b511e9718fda0fb,trace,Float64,tiny,544,5,427.2462311557789,300738.9095477387,824.1909547738694,846.0312929648239,5174.870652468
